subscriberId,campaignType,tenureMonths,monthlyDataUsageGb,monthlyVoiceMinutes,monthlySpendTry,currentTariff,pastAcceptedOffers,pastDeclinedOffers,complaintCount6m,usageTrend,trueConversionProbability,converted
SUB-0010,CIHAZ_FIRSATI,8,27.99,272,477.21,STANDART,0,1,3,-0.427,0.2609,0
SUB-0010,SADAKAT,8,27.99,272,477.21,STANDART,0,1,3,-0.427,0.2503,0
SUB-0011,EK_PAKET,45,6.73,394,162.19,EKONOMIK,2,5,0,0.364,0.3605,1
SUB-0011,TARIFE_YUKSELTME,45,6.73,394,162.19,EKONOMIK,2,5,0,0.364,0.5807,0
SUB-0011,CIHAZ_FIRSATI,45,6.73,394,162.19,EKONOMIK,2,5,0,0.364,0.7756,1
SUB-0011,SADAKAT,45,6.73,394,162.19,EKONOMIK,2,5,0,0.364,0.6438,0
SUB-0012,EK_PAKET,82,8.3,433,552.81,PREMIUM,6,7,1,0.25,0.2864,0
SUB-0012,TARIFE_YUKSELTME,82,8.3,433,552.81,PREMIUM,6,7,1,0.25,0.2315,0
SUB-0012,CIHAZ_FIRSATI,82,8.3,433,552.81,PREMIUM,6,7,1,0.25,0.896,1
SUB-0012,SADAKAT,82,8.3,433,552.81,PREMIUM,6,7,1,0.25,0.7214,1
SUB-0013,EK_PAKET,62,17.26,780,318.09,STANDART,2,8,0,0.147,0.5357,1
SUB-0013,TARIFE_YUKSELTME,62,17.26,780,318.09,STANDART,2,8,0,0.147,0.5606,1
SUB-0013,CIHAZ_FIRSATI,62,17.26,780,318.09,STANDART,2,8,0,0.147,0.8857,1
SUB-0013,SADAKAT,62,17.26,780,318.09,STANDART,2,8,0,0.147,0.6393,1
SUB-0014,EK_PAKET,64,2.95,367,265.85,STANDART,5,5,2,-0.583,0.2272,0
SUB-0014,TARIFE_YUKSELTME,64,2.95,367,265.85,STANDART,5,5,2,-0.583,0.3196,1
SUB-0014,CIHAZ_FIRSATI,64,2.95,367,265.85,STANDART,5,5,2,-0.583,0.6157,1
SUB-0014,SADAKAT,64,2.95,367,265.85,STANDART,5,5,2,-0.583,0.4657,0
SUB-0015,EK_PAKET,61,13.97,620,294.33,STANDART,1,9,1,-0.139,0.3435,0
SUB-0015,TARIFE_YUKSELTME,61,13.97,620,294.33,STANDART,1,9,1,-0.139,0.2807,0
SUB-0015,CIHAZ_FIRSATI,61,13.97,620,294.33,STANDART,1,9,1,-0.139,0.7696,1
SUB-0015,SADAKAT,61,13.97,620,294.33,STANDART,1,9,1,-0.139,0.5892,1
SUB-0016,EK_PAKET,67,36.84,102,319.7,STANDART,4,7,1,-0.291,0.882,1
SUB-0016,TARIFE_YUKSELTME,67,36.84,102,319.7,STANDART,4,7,1,-0.291,0.7994,1
SUB-0016,CIHAZ_FIRSATI,67,36.84,102,319.7,STANDART,4,7,1,-0.291,0.6431,0
SUB-0016,SADAKAT,67,36.84,102,319.7,STANDART,4,7,1,-0.291,0.7772,1
SUB-0017,EK_PAKET,44,14.95,507,272.16,STANDART,2,5,0,0.354,0.5906,1
SUB-0017,TARIFE_YUKSELTME,44,14.95,507,272.16,STANDART,2,5,0,0.354,0.8098,1
SUB-0017,CIHAZ_FIRSATI,44,14.95,507,272.16,STANDART,2,5,0,0.354,0.7029,1
SUB-0017,SADAKAT,44,14.95,507,272.16,STANDART,2,5,0,0.354,0.8428,1
SUB-0018,EK_PAKET,11,1.24,481,193.14,STANDART,0,1,1,0.382,0.4524,0
SUB-0018,TARIFE_YUKSELTME,11,1.24,481,193.14,STANDART,0,1,1,0.382,0.4793,1
SUB-0018,CIHAZ_FIRSATI,11,1.24,481,193.14,STANDART,0,1,1,0.382,0.4901,0
SUB-0018,SADAKAT,11,1.24,481,193.14,STANDART,0,1,1,0.382,0.5947,1
SUB-0019,EK_PAKET,71,5.77,1014,415.97,PREMIUM,1,10,1,0.34,0.2481,0
SUB-0019,TARIFE_YUKSELTME,71,5.77,1014,415.97,PREMIUM,1,10,1,0.34,0.0278,0
SUB-0019,CIHAZ_FIRSATI,71,5.77,1014,415.97,PREMIUM,1,10,1,0.34,0.6646,1
SUB-0019,SADAKAT,71,5.77,1014,415.97,PREMIUM,1,10,1,0.34,0.6709,1
SUB-0020,EK_PAKET,38,6.89,340,243.21,STANDART,3,3,2,-0.374,0.3284,0
SUB-0020,TARIFE_YUKSELTME,38,6.89,340,243.21,STANDART,3,3,2,-0.374,0.2873,1
SUB-0020,CIHAZ_FIRSATI,38,6.89,340,243.21,STANDART,3,3,2,-0.374,0.521,0
SUB-0020,SADAKAT,38,6.89,340,243.21,STANDART,3,3,2,-0.374,0.4907,0
SUB-0021,EK_PAKET,43,22.41,329,413.83,STANDART,4,3,1,-0.989,0.608,0
SUB-0021,TARIFE_YUKSELTME,43,22.41,329,413.83,STANDART,4,3,1,-0.989,0.7152,0
SUB-0021,CIHAZ_FIRSATI,43,22.41,329,413.83,STANDART,4,3,1,-0.989,0.541,0
SUB-0021,SADAKAT,43,22.41,329,413.83,STANDART,4,3,1,-0.989,0.6141,0
SUB-0022,EK_PAKET,32,9.95,692,162.99,EKONOMIK,1,4,1,-0.648,0.3307,0
SUB-0022,TARIFE_YUKSELTME,32,9.95,692,162.99,EKONOMIK,1,4,1,-0.648,0.2985,0
SUB-0022,CIHAZ_FIRSATI,32,9.95,692,162.99,EKONOMIK,1,4,1,-0.648,0.2964,0
SUB-0022,SADAKAT,32,9.95,692,162.99,EKONOMIK,1,4,1,-0.648,0.5343,0
SUB-0023,EK_PAKET,16,2.32,141,322.05,STANDART,1,1,5,0.148,0.01,0
SUB-0023,TARIFE_YUKSELTME,16,2.32,141,322.05,STANDART,1,1,5,0.148,0.3109,0
SUB-0023,CIHAZ_FIRSATI,16,2.32,141,322.05,STANDART,1,1,5,0.148,0.2434,0
SUB-0023,SADAKAT,16,2.32,141,322.05,STANDART,1,1,5,0.148,0.189,0
SUB-0024,EK_PAKET,78,10.76,497,324.88,STANDART,0,13,2,-0.25,0.1194,0
SUB-0024,TARIFE_YUKSELTME,78,10.76,497,324.88,STANDART,0,13,2,-0.25,0.2253,0
SUB-0024,CIHAZ_FIRSATI,78,10.76,497,324.88,STANDART,0,13,2,-0.25,0.5118,1
SUB-0024,SADAKAT,78,10.76,497,324.88,STANDART,0,13,2,-0.25,0.53,1
SUB-0025,EK_PAKET,66,12.3,134,206.66,EKONOMIK,7,4,0,-0.213,0.5781,1
SUB-0025,TARIFE_YUKSELTME,66,12.3,134,206.66,EKONOMIK,7,4,0,-0.213,0.7684,1
SUB-0025,CIHAZ_FIRSATI,66,12.3,134,206.66,EKONOMIK,7,4,0,-0.213,0.8345,0
SUB-0025,SADAKAT,66,12.3,134,206.66,EKONOMIK,7,4,0,-0.213,0.8772,1
SUB-0026,EK_PAKET,55,7.59,1324,118.1,EKONOMIK,4,5,0,0.625,0.5463,1
SUB-0026,TARIFE_YUKSELTME,55,7.59,1324,118.1,EKONOMIK,4,5,0,0.625,0.476,0
SUB-0026,CIHAZ_FIRSATI,55,7.59,1324,118.1,EKONOMIK,4,5,0,0.625,0.7773,1
SUB-0026,SADAKAT,55,7.59,1324,118.1,EKONOMIK,4,5,0,0.625,0.9032,1
SUB-0027,EK_PAKET,34,5.01,294,303.48,STANDART,2,3,0,0.493,0.4866,1
SUB-0027,TARIFE_YUKSELTME,34,5.01,294,303.48,STANDART,2,3,0,0.493,0.3803,1
SUB-0027,CIHAZ_FIRSATI,34,5.01,294,303.48,STANDART,2,3,0,0.493,0.9031,1
SUB-0027,SADAKAT,34,5.01,294,303.48,STANDART,2,3,0,0.493,0.7837,0
SUB-0028,EK_PAKET,70,39.28,125,465.9,STANDART,0,11,0,0.059,0.6998,1
SUB-0028,TARIFE_YUKSELTME,70,39.28,125,465.9,STANDART,0,11,0,0.059,0.8363,1
SUB-0028,CIHAZ_FIRSATI,70,39.28,125,465.9,STANDART,0,11,0,0.059,0.6616,0
SUB-0028,SADAKAT,70,39.28,125,465.9,STANDART,0,11,0,0.059,0.6649,0
SUB-0029,EK_PAKET,46,19.58,270,325.02,STANDART,3,4,0,-0.053,0.6589,1
SUB-0029,TARIFE_YUKSELTME,46,19.58,270,325.02,STANDART,3,4,0,-0.053,0.7722,1
SUB-0029,CIHAZ_FIRSATI,46,19.58,270,325.02,STANDART,3,4,0,-0.053,0.759,0
SUB-0029,SADAKAT,46,19.58,270,325.02,STANDART,3,4,0,-0.053,0.6263,0
SUB-0030,EK_PAKET,38,20.7,500,235.55,EKONOMIK,5,1,1,-0.076,0.6552,1
SUB-0030,TARIFE_YUKSELTME,38,20.7,500,235.55,EKONOMIK,5,1,1,-0.076,0.7406,0
SUB-0030,CIHAZ_FIRSATI,38,20.7,500,235.55,EKONOMIK,5,1,1,-0.076,0.6593,1
SUB-0030,SADAKAT,38,20.7,500,235.55,EKONOMIK,5,1,1,-0.076,0.6868,0
SUB-0031,EK_PAKET,38,9.96,606,187.49,EKONOMIK,0,6,1,0.05,0.2056,0
SUB-0031,TARIFE_YUKSELTME,38,9.96,606,187.49,EKONOMIK,0,6,1,0.05,0.3226,1
SUB-0031,CIHAZ_FIRSATI,38,9.96,606,187.49,EKONOMIK,0,6,1,0.05,0.5309,0
SUB-0031,SADAKAT,38,9.96,606,187.49,EKONOMIK,0,6,1,0.05,0.4735,0
SUB-0032,EK_PAKET,20,6.64,978,127.92,EKONOMIK,0,3,1,0.53,0.3692,1
SUB-0032,TARIFE_YUKSELTME,20,6.64,978,127.92,EKONOMIK,0,3,1,0.53,0.4069,1
SUB-0032,CIHAZ_FIRSATI,20,6.64,978,127.92,EKONOMIK,0,3,1,0.53,0.3701,1
SUB-0032,SADAKAT,20,6.64,978,127.92,EKONOMIK,0,3,1,0.53,0.5291,1
SUB-0033,EK_PAKET,8,7.87,243,250.5,STANDART,0,1,0,0.198,0.4299,0
SUB-0033,TARIFE_YUKSELTME,8,7.87,243,250.5,STANDART,0,1,0,0.198,0.5436,0
SUB-0033,CIHAZ_FIRSATI,8,7.87,243,250.5,STANDART,0,1,0,0.198,0.5227,1
SUB-0033,SADAKAT,8,7.87,243,250.5,STANDART,0,1,0,0.198,0.6027,1
SUB-0034,EK_PAKET,47,3.65,715,449.06,PREMIUM,2,5,1,0.224,0.3281,0
SUB-0034,TARIFE_YUKSELTME,47,3.65,715,449.06,PREMIUM,2,5,1,0.224,0.1425,0
SUB-0034,CIHAZ_FIRSATI,47,3.65,715,449.06,PREMIUM,2,5,1,0.224,0.792,0
SUB-0034,SADAKAT,47,3.65,715,449.06,PREMIUM,2,5,1,0.224,0.6396,1
SUB-0035,EK_PAKET,75,29.77,75,257.44,EKONOMIK,3,9,2,0.299,0.6287,1
SUB-0035,TARIFE_YUKSELTME,75,29.77,75,257.44,EKONOMIK,3,9,2,0.299,0.7918,1
SUB-0035,CIHAZ_FIRSATI,75,29.77,75,257.44,EKONOMIK,3,9,2,0.299,0.6174,1
SUB-0035,SADAKAT,75,29.77,75,257.44,EKONOMIK,3,9,2,0.299,0.5928,0
SUB-0036,EK_PAKET,6,10.26,164,319.23,STANDART,0,1,1,-0.439,0.3442,0
SUB-0036,TARIFE_YUKSELTME,6,10.26,164,319.23,STANDART,0,1,1,-0.439,0.3365,0
SUB-0036,CIHAZ_FIRSATI,6,10.26,164,319.23,STANDART,0,1,1,-0.439,0.3685,0
SUB-0036,SADAKAT,6,10.26,164,319.23,STANDART,0,1,1,-0.439,0.4281,1
SUB-0037,EK_PAKET,73,25.68,105,203.86,EKONOMIK,5,7,3,0.074,0.5128,1
SUB-0037,TARIFE_YUKSELTME,73,25.68,105,203.86,EKONOMIK,5,7,3,0.074,0.6421,0
SUB-0037,CIHAZ_FIRSATI,73,25.68,105,203.86,EKONOMIK,5,7,3,0.074,0.5727,0
SUB-0037,SADAKAT,73,25.68,105,203.86,EKONOMIK,5,7,3,0.074,0.6124,0
SUB-0038,EK_PAKET,70,8.16,207,157.77,EKONOMIK,2,9,3,-0.293,0.1445,0
SUB-0038,TARIFE_YUKSELTME,70,8.16,207,157.77,EKONOMIK,2,9,3,-0.293,0.1566,0
SUB-0038,CIHAZ_FIRSATI,70,8.16,207,157.77,EKONOMIK,2,9,3,-0.293,0.4811,1
SUB-0038,SADAKAT,70,8.16,207,157.77,EKONOMIK,2,9,3,-0.293,0.4747,0
SUB-0039,EK_PAKET,24,15.1,692,210.75,EKONOMIK,3,1,1,-0.911,0.5316,0
SUB-0039,TARIFE_YUKSELTME,24,15.1,692,210.75,EKONOMIK,3,1,1,-0.911,0.587,0
SUB-0039,CIHAZ_FIRSATI,24,15.1,692,210.75,EKONOMIK,3,1,1,-0.911,0.4484,0
SUB-0039,SADAKAT,24,15.1,692,210.75,EKONOMIK,3,1,1,-0.911,0.545,0
SUB-0040,EK_PAKET,54,12.77,248,202.19,EKONOMIK,6,3,1,-0.775,0.5108,0
SUB-0040,TARIFE_YUKSELTME,54,12.77,248,202.19,EKONOMIK,6,3,1,-0.775,0.4144,0
SUB-0040,CIHAZ_FIRSATI,54,12.77,248,202.19,EKONOMIK,6,3,1,-0.775,0.6925,1
SUB-0040,SADAKAT,54,12.77,248,202.19,EKONOMIK,6,3,1,-0.775,0.7281,1
SUB-0041,EK_PAKET,14,3.31,290,336.98,STANDART,1,1,1,-0.386,0.1794,1
SUB-0041,TARIFE_YUKSELTME,14,3.31,290,336.98,STANDART,1,1,1,-0.386,0.4974,0
SUB-0041,CIHAZ_FIRSATI,14,3.31,290,336.98,STANDART,1,1,1,-0.386,0.4175,1
SUB-0041,SADAKAT,14,3.31,290,336.98,STANDART,1,1,1,-0.386,0.5976,1
SUB-0042,EK_PAKET,64,32.1,510,675.55,PREMIUM,1,9,0,0.236,0.7222,1
SUB-0042,TARIFE_YUKSELTME,64,32.1,510,675.55,PREMIUM,1,9,0,0.236,0.4778,0
SUB-0042,CIHAZ_FIRSATI,64,32.1,510,675.55,PREMIUM,1,9,0,0.236,0.6922,0
SUB-0042,SADAKAT,64,32.1,510,675.55,PREMIUM,1,9,0,0.236,0.76,0
SUB-0043,EK_PAKET,59,8.34,588,117.49,EKONOMIK,3,6,1,0.01,0.2567,0
SUB-0043,TARIFE_YUKSELTME,59,8.34,588,117.49,EKONOMIK,3,6,1,0.01,0.4159,1
SUB-0043,CIHAZ_FIRSATI,59,8.34,588,117.49,EKONOMIK,3,6,1,0.01,0.6121,1
SUB-0043,SADAKAT,59,8.34,588,117.49,EKONOMIK,3,6,1,0.01,0.7292,0
SUB-0044,EK_PAKET,30,4.36,297,346.94,STANDART,2,3,1,0.035,0.0944,0
SUB-0044,TARIFE_YUKSELTME,30,4.36,297,346.94,STANDART,2,3,1,0.035,0.4099,1
SUB-0044,CIHAZ_FIRSATI,30,4.36,297,346.94,STANDART,2,3,1,0.035,0.6296,1
SUB-0044,SADAKAT,30,4.36,297,346.94,STANDART,2,3,1,0.035,0.5577,0
SUB-0045,EK_PAKET,6,17.34,163,316.81,STANDART,0,1,3,0.493,0.4178,1
SUB-0045,TARIFE_YUKSELTME,6,17.34,163,316.81,STANDART,0,1,3,0.493,0.4508,0
SUB-0045,CIHAZ_FIRSATI,6,17.34,163,316.81,STANDART,0,1,3,0.493,0.3106,0
SUB-0045,SADAKAT,6,17.34,163,316.81,STANDART,0,1,3,0.493,0.4688,0
SUB-0046,EK_PAKET,82,11.16,1183,572.01,PREMIUM,10,3,1,-0.474,0.5609,0
SUB-0046,TARIFE_YUKSELTME,82,11.16,1183,572.01,PREMIUM,10,3,1,-0.474,0.298,0
SUB-0046,CIHAZ_FIRSATI,82,11.16,1183,572.01,PREMIUM,10,3,1,-0.474,0.8531,1
SUB-0046,SADAKAT,82,11.16,1183,572.01,PREMIUM,10,3,1,-0.474,0.8672,1
SUB-0047,EK_PAKET,38,14.2,299,326.63,STANDART,2,4,1,-0.04,0.4601,1
SUB-0047,TARIFE_YUKSELTME,38,14.2,299,326.63,STANDART,2,4,1,-0.04,0.4222,1
SUB-0047,CIHAZ_FIRSATI,38,14.2,299,326.63,STANDART,2,4,1,-0.04,0.6027,1
SUB-0047,SADAKAT,38,14.2,299,326.63,STANDART,2,4,1,-0.04,0.7092,1
SUB-0048,EK_PAKET,76,11.96,324,157.33,EKONOMIK,9,3,0,0.157,0.6905,1
SUB-0048,TARIFE_YUKSELTME,76,11.96,324,157.33,EKONOMIK,9,3,0,0.157,0.6849,1
SUB-0048,CIHAZ_FIRSATI,76,11.96,324,157.33,EKONOMIK,9,3,0,0.157,0.8112,1
SUB-0048,SADAKAT,76,11.96,324,157.33,EKONOMIK,9,3,0,0.157,0.9687,1
SUB-0049,EK_PAKET,57,1.4,358,193.98,STANDART,2,7,1,-0.288,0.1409,0
SUB-0049,TARIFE_YUKSELTME,57,1.4,358,193.98,STANDART,2,7,1,-0.288,0.2296,0
SUB-0049,CIHAZ_FIRSATI,57,1.4,358,193.98,STANDART,2,7,1,-0.288,0.6748,1
SUB-0049,SADAKAT,57,1.4,358,193.98,STANDART,2,7,1,-0.288,0.6668,1
SUB-0050,EK_PAKET,66,5.61,633,138.39,EKONOMIK,3,8,1,-0.02,0.1553,0
SUB-0050,TARIFE_YUKSELTME,66,5.61,633,138.39,EKONOMIK,3,8,1,-0.02,0.3593,1
SUB-0050,CIHAZ_FIRSATI,66,5.61,633,138.39,EKONOMIK,3,8,1,-0.02,0.5556,0
SUB-0050,SADAKAT,66,5.61,633,138.39,EKONOMIK,3,8,1,-0.02,0.6428,1
SUB-0051,EK_PAKET,64,5.43,97,442.08,PREMIUM,4,6,2,-0.67,0.0549,0
SUB-0051,TARIFE_YUKSELTME,64,5.43,97,442.08,PREMIUM,4,6,2,-0.67,0.01,0
SUB-0051,CIHAZ_FIRSATI,64,5.43,97,442.08,PREMIUM,4,6,2,-0.67,0.4778,0
SUB-0051,SADAKAT,64,5.43,97,442.08,PREMIUM,4,6,2,-0.67,0.6004,1
SUB-0052,EK_PAKET,17,20.51,1492,390.99,STANDART,0,2,2,0.383,0.5241,1
SUB-0052,TARIFE_YUKSELTME,17,20.51,1492,390.99,STANDART,0,2,2,0.383,0.5365,0
SUB-0052,CIHAZ_FIRSATI,17,20.51,1492,390.99,STANDART,0,2,2,0.383,0.3835,1
SUB-0052,SADAKAT,17,20.51,1492,390.99,STANDART,0,2,2,0.383,0.3137,0
SUB-0053,EK_PAKET,31,11.45,317,372.21,STANDART,1,4,1,-0.269,0.2863,0
SUB-0053,TARIFE_YUKSELTME,31,11.45,317,372.21,STANDART,1,4,1,-0.269,0.4121,0
SUB-0053,CIHAZ_FIRSATI,31,11.45,317,372.21,STANDART,1,4,1,-0.269,0.525,1
SUB-0053,SADAKAT,31,11.45,317,372.21,STANDART,1,4,1,-0.269,0.5908,1
SUB-0054,EK_PAKET,40,15.7,648,158.78,EKONOMIK,3,3,1,0.681,0.7308,1
SUB-0054,TARIFE_YUKSELTME,40,15.7,648,158.78,EKONOMIK,3,3,1,0.681,0.6894,1
SUB-0054,CIHAZ_FIRSATI,40,15.7,648,158.78,EKONOMIK,3,3,1,0.681,0.7213,1
SUB-0054,SADAKAT,40,15.7,648,158.78,EKONOMIK,3,3,1,0.681,0.7131,1
SUB-0055,EK_PAKET,42,8.72,126,311.33,STANDART,5,2,1,-0.041,0.3634,0
SUB-0055,TARIFE_YUKSELTME,42,8.72,126,311.33,STANDART,5,2,1,-0.041,0.4694,1
SUB-0055,CIHAZ_FIRSATI,42,8.72,126,311.33,STANDART,5,2,1,-0.041,0.6463,0
SUB-0055,SADAKAT,42,8.72,126,311.33,STANDART,5,2,1,-0.041,0.8931,0
SUB-0056,EK_PAKET,4,16.22,472,523.96,PREMIUM,0,0,2,0.25,0.542,1
SUB-0056,TARIFE_YUKSELTME,4,16.22,472,523.96,PREMIUM,0,0,2,0.25,0.3706,1
SUB-0056,CIHAZ_FIRSATI,4,16.22,472,523.96,PREMIUM,0,0,2,0.25,0.4325,1
SUB-0056,SADAKAT,4,16.22,472,523.96,PREMIUM,0,0,2,0.25,0.6262,1
SUB-0057,EK_PAKET,46,9.98,1343,279.77,STANDART,1,6,3,-0.209,0.0695,0
SUB-0057,TARIFE_YUKSELTME,46,9.98,1343,279.77,STANDART,1,6,3,-0.209,0.1066,0
SUB-0057,CIHAZ_FIRSATI,46,9.98,1343,279.77,STANDART,1,6,3,-0.209,0.6449,1
SUB-0057,SADAKAT,46,9.98,1343,279.77,STANDART,1,6,3,-0.209,0.323,0
SUB-0058,EK_PAKET,13,9.46,1220,333.56,STANDART,1,1,1,-0.041,0.3949,1
SUB-0058,TARIFE_YUKSELTME,13,9.46,1220,333.56,STANDART,1,1,1,-0.041,0.4372,1
SUB-0058,CIHAZ_FIRSATI,13,9.46,1220,333.56,STANDART,1,1,1,-0.041,0.5189,0
SUB-0058,SADAKAT,13,9.46,1220,333.56,STANDART,1,1,1,-0.041,0.4756,0
SUB-0059,EK_PAKET,63,12.71,636,535.66,PREMIUM,1,9,1,-0.234,0.3456,1
SUB-0059,TARIFE_YUKSELTME,63,12.71,636,535.66,PREMIUM,1,9,1,-0.234,0.1769,1
SUB-0059,CIHAZ_FIRSATI,63,12.71,636,535.66,PREMIUM,1,9,1,-0.234,0.5376,1
SUB-0059,SADAKAT,63,12.71,636,535.66,PREMIUM,1,9,1,-0.234,0.5195,1
SUB-0060,EK_PAKET,58,11.96,194,603.4,PREMIUM,4,5,1,0.012,0.5061,0
SUB-0060,TARIFE_YUKSELTME,58,11.96,194,603.4,PREMIUM,4,5,1,0.012,0.3497,0
SUB-0060,CIHAZ_FIRSATI,58,11.96,194,603.4,PREMIUM,4,5,1,0.012,0.8514,1
SUB-0060,SADAKAT,58,11.96,194,603.4,PREMIUM,4,5,1,0.012,0.7839,1
SUB-0061,EK_PAKET,78,47.11,943,312.69,EKONOMIK,6,7,0,0.161,0.99,1
SUB-0061,TARIFE_YUKSELTME,78,47.11,943,312.69,EKONOMIK,6,7,0,0.161,0.9457,1
SUB-0061,CIHAZ_FIRSATI,78,47.11,943,312.69,EKONOMIK,6,7,0,0.161,0.8656,1
SUB-0061,SADAKAT,78,47.11,943,312.69,EKONOMIK,6,7,0,0.161,0.9331,1
SUB-0062,EK_PAKET,63,5.56,74,325.0,STANDART,1,9,2,-0.384,0.1893,0
SUB-0062,TARIFE_YUKSELTME,63,5.56,74,325.0,STANDART,1,9,2,-0.384,0.1688,1
SUB-0062,CIHAZ_FIRSATI,63,5.56,74,325.0,STANDART,1,9,2,-0.384,0.458,0
SUB-0062,SADAKAT,63,5.56,74,325.0,STANDART,1,9,2,-0.384,0.4921,1
SUB-0063,EK_PAKET,31,2.98,188,277.29,STANDART,2,3,1,-0.074,0.266,0
SUB-0063,TARIFE_YUKSELTME,31,2.98,188,277.29,STANDART,2,3,1,-0.074,0.3007,0
SUB-0063,CIHAZ_FIRSATI,31,2.98,188,277.29,STANDART,2,3,1,-0.074,0.5208,1
SUB-0063,SADAKAT,31,2.98,188,277.29,STANDART,2,3,1,-0.074,0.6765,0
SUB-0064,EK_PAKET,82,13.99,391,354.79,STANDART,6,7,0,-0.164,0.5616,0
SUB-0064,TARIFE_YUKSELTME,82,13.99,391,354.79,STANDART,6,7,0,-0.164,0.5601,0
SUB-0064,CIHAZ_FIRSATI,82,13.99,391,354.79,STANDART,6,7,0,-0.164,0.732,1
SUB-0064,SADAKAT,82,13.99,391,354.79,STANDART,6,7,0,-0.164,0.736,1
SUB-0065,EK_PAKET,35,6.22,82,130.12,EKONOMIK,3,2,2,0.695,0.3151,0
