subscriberId,firstName,tenureMonths,monthlyDataUsageGb,monthlyVoiceMinutes,monthlySpendTry,currentTariff,pastAcceptedOffers,pastDeclinedOffers,complaintCount6m,usageTrend,segment
SUB-0052,Ali,17,20.51,1492,390.99,STANDART,0,2,2,0.383,RISKLI_KAYIP
SUB-0053,Ayşe,31,11.45,317,372.21,STANDART,1,4,1,-0.269,PASIF
SUB-0054,Ali,40,15.7,648,158.78,EKONOMIK,3,3,1,0.681,PASIF
SUB-0055,Elif,42,8.72,126,311.33,STANDART,5,2,1,-0.041,YUKSEK_DEGER
SUB-0056,Gül,4,16.22,472,523.96,PREMIUM,0,0,2,0.25,YENI_ABONE
SUB-0057,Mustafa,46,9.98,1343,279.77,STANDART,1,6,3,-0.209,RISKLI_KAYIP
SUB-0058,Emine,13,9.46,1220,333.56,STANDART,1,1,1,-0.041,RISKLI_KAYIP
SUB-0059,Mustafa,63,12.71,636,535.66,PREMIUM,1,9,1,-0.234,RISKLI_KAYIP
SUB-0060,Hatice,58,11.96,194,603.4,PREMIUM,4,5,1,0.012,YUKSEK_DEGER
SUB-0061,Emre,78,47.11,943,312.69,EKONOMIK,6,7,0,0.161,YUKSEK_DEGER
SUB-0062,Hüseyin,63,5.56,74,325.0,STANDART,1,9,2,-0.384,RISKLI_KAYIP
SUB-0063,Murat,31,2.98,188,277.29,STANDART,2,3,1,-0.074,PASIF
SUB-0064,Burak,82,13.99,391,354.79,STANDART,6,7,0,-0.164,YUKSEK_DEGER
SUB-0065,Gül,35,6.22,82,130.12,EKONOMIK,3,2,2,0.695,PASIF
SUB-0066,Yusuf,28,1.21,270,123.46,EKONOMIK,2,2,0,0.019,PASIF
SUB-0067,Emre,77,4.55,725,495.87,PREMIUM,5,7,0,0.591,PASIF
SUB-0068,Gül,32,40.86,226,630.43,PREMIUM,1,4,1,-0.098,YUKSEK_DEGER
SUB-0069,Büşra,7,5.44,749,530.96,PREMIUM,1,0,0,0.141,PASIF
SUB-0070,Hüseyin,40,2.09,1756,515.4,PREMIUM,4,2,1,-0.492,PASIF
SUB-0071,Ali,67,39.29,555,460.56,STANDART,4,7,0,-0.106,YUKSEK_DEGER
SUB-0072,Fatma,16,4.4,740,341.28,STANDART,2,0,0,0.124,PASIF
SUB-0073,Burak,39,55.88,965,569.44,STANDART,3,3,1,0.525,YUKSEK_DEGER
SUB-0074,Yusuf,11,8.44,291,283.0,STANDART,1,0,0,0.128,YENI_ABONE
SUB-0075,Hüseyin,58,32.19,728,419.77,STANDART,1,8,0,0.534,YENI_ABONE
SUB-0076,Hatice,40,9.31,285,136.94,EKONOMIK,6,0,2,0.114,PASIF
SUB-0077,Emine,28,15.16,526,329.13,STANDART,1,3,0,0.62,YENI_ABONE
SUB-0078,Kerem,20,10.14,806,141.63,EKONOMIK,0,3,1,-0.051,PASIF
SUB-0079,Özlem,48,9.36,203,226.92,EKONOMIK,3,5,0,0.887,YENI_ABONE
SUB-0080,Burak,57,13.21,27,334.01,STANDART,7,2,0,-0.12,YUKSEK_DEGER
SUB-0081,Hüseyin,79,15.53,186,321.15,STANDART,3,10,0,-0.218,RISKLI_KAYIP
SUB-0082,Ahmet,37,12.52,889,224.1,EKONOMIK,6,0,0,-0.374,PASIF
SUB-0083,Fatma,14,11.64,165,445.56,PREMIUM,0,2,1,0.786,RISKLI_KAYIP
SUB-0084,Onur,70,6.27,855,427.63,PREMIUM,8,3,0,0.337,YUKSEK_DEGER
SUB-0085,Meryem,53,10.42,186,198.73,EKONOMIK,3,5,1,-0.147,RISKLI_KAYIP
SUB-0086,Yusuf,59,29.68,349,255.99,EKONOMIK,3,6,0,0.487,YUKSEK_DEGER
SUB-0087,İbrahim,9,6.04,412,157.18,EKONOMIK,1,0,1,0.211,PASIF
SUB-0088,Emine,27,13.48,164,267.6,STANDART,1,3,1,0.658,RISKLI_KAYIP
SUB-0089,Gül,65,24.08,352,587.42,PREMIUM,5,5,1,-0.572,YUKSEK_DEGER
SUB-0090,Ahmet,70,15.62,88,270.41,EKONOMIK,6,5,0,-0.043,YUKSEK_DEGER
SUB-0091,Selin,37,20.65,313,385.91,STANDART,1,5,1,-0.192,RISKLI_KAYIP
SUB-0092,Ayşe,68,4.34,386,146.32,EKONOMIK,1,10,0,-0.641,PASIF
SUB-0093,Emine,71,13.5,29,303.21,STANDART,3,8,2,0.261,RISKLI_KAYIP
SUB-0094,Kerem,33,8.97,184,504.59,PREMIUM,1,4,4,-0.365,RISKLI_KAYIP
SUB-0095,Fatma,76,9.26,515,76.5,EKONOMIK,3,9,1,0.229,RISKLI_KAYIP
SUB-0096,Fatma,25,28.11,146,256.81,EKONOMIK,2,2,1,0.796,YUKSEK_DEGER
SUB-0097,Kerem,21,9.37,579,335.98,STANDART,2,1,0,-0.074,YUKSEK_DEGER
SUB-0098,Hüseyin,58,13.81,620,259.1,STANDART,2,7,0,-0.097,YENI_ABONE
SUB-0099,Emine,54,2.09,513,462.95,PREMIUM,5,4,1,0.012,PASIF
SUB-0100,Yusuf,12,32.17,721,578.45,PREMIUM,0,2,3,0.156,YUKSEK_DEGER
SUB-0101,Zeynep,70,19.88,82,170.84,EKONOMIK,5,6,2,-0.308,RISKLI_KAYIP
SUB-0102,Mehmet,17,10.7,831,170.31,EKONOMIK,1,1,1,-0.251,PASIF
SUB-0103,Ayşe,68,8.68,166,215.67,STANDART,5,6,1,0.34,RISKLI_KAYIP
SUB-0104,Mehmet,1,16.69,449,219.66,EKONOMIK,0,0,0,0.183,YENI_ABONE
SUB-0105,Ali,67,23.89,1308,617.66,PREMIUM,5,6,0,-0.666,YUKSEK_DEGER
SUB-0106,Selin,67,32.44,308,395.94,STANDART,1,10,0,-0.379,RISKLI_KAYIP
SUB-0107,Hüseyin,66,19.45,420,108.3,EKONOMIK,3,8,0,0.575,PASIF
SUB-0108,Mehmet,56,11.75,167,493.04,PREMIUM,3,6,1,0.111,YUKSEK_DEGER
SUB-0109,Ayşe,40,21.43,1299,265.74,EKONOMIK,2,4,0,-0.217,YUKSEK_DEGER
SUB-0110,Ahmet,60,18.92,185,234.0,STANDART,5,5,1,-0.09,YUKSEK_DEGER
SUB-0111,Derya,24,11.79,659,299.14,STANDART,2,2,2,-0.105,RISKLI_KAYIP
SUB-0112,Hatice,66,18.55,964,296.28,STANDART,3,8,1,0.228,RISKLI_KAYIP
SUB-0113,Mehmet,47,18.32,704,374.63,STANDART,0,7,4,-0.745,RISKLI_KAYIP
SUB-0114,Mustafa,39,10.66,537,280.97,STANDART,0,6,1,-0.324,RISKLI_KAYIP
SUB-0115,Ahmet,43,7.47,444,529.75,PREMIUM,2,5,2,-0.014,RISKLI_KAYIP
SUB-0116,Zeynep,48,17.28,125,580.38,PREMIUM,5,3,0,0.015,YUKSEK_DEGER
SUB-0117,Onur,4,4.78,1261,354.94,STANDART,0,0,1,0.17,YENI_ABONE
SUB-0118,Büşra,12,3.89,505,129.41,EKONOMIK,0,2,0,-0.38,PASIF
SUB-0119,Hatice,21,13.96,421,337.85,STANDART,0,3,0,0.175,YENI_ABONE
SUB-0120,Gül,10,16.97,154,496.95,PREMIUM,1,0,1,0.352,RISKLI_KAYIP
SUB-0121,Hüseyin,37,13.88,436,230.1,EKONOMIK,2,4,0,0.22,YENI_ABONE
SUB-0122,Ali,57,14.95,400,296.84,STANDART,8,1,0,0.099,YUKSEK_DEGER
SUB-0123,Gül,55,16.78,1308,313.06,STANDART,8,1,1,-0.064,YUKSEK_DEGER
SUB-0124,Onur,40,28.18,420,245.92,EKONOMIK,3,3,0,-0.242,RISKLI_KAYIP
SUB-0125,Hüseyin,72,19.67,431,286.01,STANDART,5,7,0,0.025,YUKSEK_DEGER
SUB-0126,Özlem,48,19.28,156,355.92,STANDART,6,2,1,0.411,YUKSEK_DEGER
SUB-0127,Zeynep,7,13.22,219,358.19,STANDART,0,1,1,-0.072,RISKLI_KAYIP
SUB-0128,Murat,65,13.57,604,552.76,PREMIUM,5,5,1,-0.341,YUKSEK_DEGER
SUB-0129,Selin,49,10.03,65,461.6,PREMIUM,7,1,1,-0.202,YUKSEK_DEGER
SUB-0130,Emre,54,14.65,828,320.95,STANDART,0,9,3,-0.12,RISKLI_KAYIP
SUB-0131,Yusuf,48,4.57,843,170.25,EKONOMIK,3,5,0,-0.081,PASIF
SUB-0132,Selin,47,28.26,199,312.06,STANDART,5,2,2,0.06,YUKSEK_DEGER
SUB-0133,Yusuf,8,5.72,538,462.76,PREMIUM,0,1,1,0.153,PASIF
SUB-0134,Kerem,47,19.65,986,383.47,STANDART,2,5,2,0.201,YENI_ABONE
SUB-0135,Zeynep,67,26.01,375,607.84,PREMIUM,4,7,1,0.468,YENI_ABONE
SUB-0136,Ahmet,26,19.62,322,224.75,EKONOMIK,1,3,0,0.399,YENI_ABONE
SUB-0137,İbrahim,51,43.17,355,748.64,PREMIUM,4,4,0,-0.277,YUKSEK_DEGER
SUB-0138,Meryem,3,1.5,504,145.47,EKONOMIK,0,0,1,-0.346,YENI_ABONE
SUB-0139,Ali,30,7.85,245,181.65,EKONOMIK,0,5,1,-0.057,PASIF
SUB-0140,Hüseyin,37,25.73,300,484.22,STANDART,3,3,0,-0.108,YENI_ABONE
SUB-0141,Gül,83,3.75,511,128.34,EKONOMIK,3,10,1,-0.428,PASIF
SUB-0142,Fatma,19,5.87,280,114.5,EKONOMIK,2,1,0,-0.105,PASIF
SUB-0143,Murat,24,16.07,143,209.43,EKONOMIK,0,4,1,-0.196,RISKLI_KAYIP
SUB-0144,Murat,35,11.65,58,329.99,STANDART,0,5,0,-0.185,RISKLI_KAYIP
SUB-0145,Ahmet,84,15.4,427,308.25,STANDART,8,6,0,-0.061,YUKSEK_DEGER
SUB-0146,Ayşe,72,12.37,944,134.38,EKONOMIK,6,6,1,0.382,PASIF
SUB-0147,Ayşe,3,13.19,558,411.73,STANDART,0,0,3,-0.12,YENI_ABONE
SUB-0148,Emine,20,6.36,148,521.69,PREMIUM,1,2,1,0.835,RISKLI_KAYIP
SUB-0149,Fatma,70,12.89,218,148.72,EKONOMIK,3,8,1,0.03,PASIF
SUB-0150,Fatma,5,8.27,320,193.86,EKONOMIK,0,0,0,-0.052,PASIF
SUB-0151,Ali,72,9.16,1336,516.85,PREMIUM,4,8,0,0.051,YUKSEK_DEGER
SUB-0152,Zeynep,24,19.47,1384,557.5,PREMIUM,1,3,1,0.06,YUKSEK_DEGER
SUB-0153,Derya,78,3.58,1278,298.6,STANDART,9,4,0,0.202,YUKSEK_DEGER
SUB-0154,Murat,25,0.89,460,432.35,PREMIUM,4,0,0,0.777,PASIF
SUB-0155,Ayşe,37,18.54,2515,217.51,EKONOMIK,0,6,1,-0.326,RISKLI_KAYIP
SUB-0156,Murat,56,12.9,228,394.57,STANDART,5,4,1,0.271,YUKSEK_DEGER
SUB-0157,Ali,11,25.99,310,395.6,STANDART,1,0,0,0.123,YUKSEK_DEGER
SUB-0158,Elif,47,6.0,784,131.96,EKONOMIK,2,5,0,-0.5,PASIF
SUB-0159,Ayşe,43,10.42,513,286.58,STANDART,1,6,0,0.32,YENI_ABONE
SUB-0160,Fatma,66,11.97,535,297.46,STANDART,1,10,0,0.494,YENI_ABONE
SUB-0161,Ali,84,7.0,173,281.34,STANDART,9,5,0,-0.25,YUKSEK_DEGER
SUB-0162,Elif,56,5.38,398,269.11,STANDART,1,8,1,-0.033,PASIF
SUB-0163,Ahmet,35,19.16,231,382.89,STANDART,4,1,0,-0.554,YUKSEK_DEGER
SUB-0164,Hatice,35,3.26,116,65.35,EKONOMIK,3,2,0,-0.391,PASIF
SUB-0165,Özlem,36,4.65,255,175.42,EKONOMIK,2,4,0,0.417,PASIF
SUB-0166,Emre,69,10.16,513,290.53,STANDART,1,10,1,-0.193,RISKLI_KAYIP
SUB-0167,Emre,27,20.66,697,228.06,EKONOMIK,3,1,1,-0.418,RISKLI_KAYIP
SUB-0168,Yusuf,15,7.37,56,108.08,EKONOMIK,2,0,0,0.13,PASIF
SUB-0169,Yusuf,29,6.65,413,203.06,EKONOMIK,2,2,1,-0.213,PASIF
SUB-0170,Ahmet,2,9.72,384,213.56,EKONOMIK,0,0,0,-0.115,YENI_ABONE
SUB-0171,Mustafa,9,14.44,494,583.35,PREMIUM,0,1,0,0.309,YUKSEK_DEGER
SUB-0172,Ahmet,8,8.62,151,238.19,STANDART,1,0,2,-0.517,RISKLI_KAYIP
SUB-0173,Ayşe,65,22.42,154,614.07,PREMIUM,4,6,1,-0.347,PASIF
SUB-0174,Onur,61,23.05,961,239.9,EKONOMIK,3,7,1,0.024,YUKSEK_DEGER
SUB-0175,Hatice,59,10.16,201,241.5,STANDART,9,0,1,0.309,YUKSEK_DEGER
SUB-0176,Büşra,39,36.01,298,421.09,STANDART,5,1,0,0.483,YUKSEK_DEGER
SUB-0177,Gül,61,11.78,324,327.58,STANDART,2,8,1,-0.263,RISKLI_KAYIP
SUB-0178,Ahmet,14,22.54,234,603.68,PREMIUM,1,1,1,0.298,YUKSEK_DEGER
SUB-0179,Derya,76,14.16,591,550.8,PREMIUM,10,2,0,-0.224,YUKSEK_DEGER
SUB-0180,Ahmet,43,13.98,556,554.54,PREMIUM,0,7,1,0.609,RISKLI_KAYIP
SUB-0181,Ali,79,2.57,371,190.51,EKONOMIK,7,6,2,-0.507,PASIF
SUB-0182,Ayşe,13,4.31,246,188.44,EKONOMIK,1,1,0,0.515,PASIF
SUB-0183,Ali,42,8.96,348,185.66,STANDART,4,3,0,-0.18,PASIF
SUB-0184,Gül,59,22.93,440,210.5,EKONOMIK,5,4,1,0.675,PASIF
SUB-0185,Ahmet,42,14.3,218,317.76,STANDART,2,5,0,0.257,YENI_ABONE
SUB-0186,Hüseyin,38,9.03,623,230.54,STANDART,2,4,0,-0.306,RISKLI_KAYIP
SUB-0187,Elif,14,17.08,824,340.63,STANDART,0,2,1,-0.213,RISKLI_KAYIP
SUB-0188,Emine,33,22.38,1073,630.66,PREMIUM,3,2,0,0.323,YUKSEK_DEGER
SUB-0189,Derya,21,11.25,1030,267.17,STANDART,0,3,1,0.338,RISKLI_KAYIP
SUB-0190,Onur,26,13.13,322,192.54,EKONOMIK,3,1,0,0.025,YUKSEK_DEGER
SUB-0191,Fatma,58,11.97,456,137.22,EKONOMIK,3,6,1,-0.014,PASIF
SUB-0192,Emre,53,10.74,365,281.46,STANDART,4,4,1,0.235,YUKSEK_DEGER
SUB-0193,Hatice,52,5.95,364,345.86,STANDART,2,6,1,0.016,PASIF
SUB-0194,Mehmet,31,5.57,346,123.36,EKONOMIK,1,4,2,-0.563,RISKLI_KAYIP
SUB-0195,Gül,81,17.01,419,355.03,STANDART,7,6,2,-0.395,RISKLI_KAYIP
SUB-0196,Mehmet,8,22.66,917,287.12,STANDART,0,1,1,0.052,YUKSEK_DEGER
SUB-0197,Zeynep,29,9.01,525,595.05,PREMIUM,1,3,0,0.475,YUKSEK_DEGER
SUB-0198,Ayşe,10,8.86,145,323.96,STANDART,1,0,0,0.616,YENI_ABONE
SUB-0199,Ahmet,29,1.9,800,261.23,STANDART,0,4,0,0.323,PASIF
SUB-0200,Özlem,81,1.52,489,149.88,EKONOMIK,9,4,1,0.071,PASIF
SUB-0201,Hüseyin,31,26.51,596,322.92,STANDART,0,5,1,0.232,YUKSEK_DEGER
SUB-0202,Mehmet,77,6.28,517,195.55,EKONOMIK,2,10,0,-0.183,PASIF
SUB-0203,Fatma,42,45.06,535,449.83,STANDART,1,6,1,-0.084,YUKSEK_DEGER
SUB-0204,Gül,59,7.21,553,284.28,STANDART,2,7,3,-0.478,RISKLI_KAYIP
SUB-0205,Kerem,39,2.66,71,112.3,EKONOMIK,1,5,1,-0.467,PASIF
SUB-0206,Gül,23,12.04,591,150.93,EKONOMIK,1,2,1,0.087,PASIF
SUB-0207,Meryem,65,19.01,227,233.35,EKONOMIK,9,1,0,0.115,YUKSEK_DEGER
SUB-0208,Yusuf,82,17.62,279,569.53,PREMIUM,2,11,0,0.291,YUKSEK_DEGER
SUB-0209,Büşra,23,20.29,416,377.37,STANDART,3,0,0,0.241,YUKSEK_DEGER
SUB-0210,Özlem,66,4.98,1187,142.06,EKONOMIK,5,6,0,0.135,PASIF
SUB-0211,Elif,22,26.11,170,618.01,PREMIUM,0,3,3,0.005,RISKLI_KAYIP
SUB-0212,Hüseyin,61,27.1,405,365.19,STANDART,0,10,1,-0.045,YUKSEK_DEGER
SUB-0213,Ahmet,67,27.86,339,474.57,STANDART,5,6,1,0.115,RISKLI_KAYIP
SUB-0214,Mehmet,38,13.45,792,477.82,PREMIUM,3,3,0,-0.204,YUKSEK_DEGER
SUB-0215,Zeynep,62,8.49,332,208.64,EKONOMIK,4,6,1,0.099,RISKLI_KAYIP
SUB-0216,Emre,23,7.91,493,210.31,EKONOMIK,1,2,1,0.204,RISKLI_KAYIP
SUB-0217,Derya,7,2.64,170,237.81,STANDART,0,1,0,-0.184,PASIF
SUB-0218,Fatma,9,7.34,885,242.19,EKONOMIK,0,1,3,-0.172,RISKLI_KAYIP
SUB-0219,Fatma,38,0.81,106,303.44,STANDART,4,2,2,-0.328,PASIF
SUB-0220,Fatma,76,2.28,585,169.12,EKONOMIK,8,4,1,-0.214,PASIF
